Occupation score,Occupation score adjusted,Colby score,first_name,last_name,urls,args,label
10.5,0.8076923076923077,0.0,Bob,Diamond,"['https://www.bloombergquint.com/opinion/2017/07/07/don-t-blame-brussels-bureaucrats-for-rbs-s-missing-billions', 'http://www.thefinancialexpress-bd.com/2017/07/07/76214/Barclays-Bank-CEO-gets-reprimanded']",[0.],1
0.0,0.0,0.0,Kevin,Starr,['https://sportsperspectives.com/2017/07/06/46224-shares-in-cytomx-therapeutics-inc-ctmx-acquired-by-monashee-investment-management-llc-updated-updated.html'],[0.],1
0.0,0.0,0.0,Kevin,Starr,['https://www.baseball-news-blog.com/citadel-advisors-llc-takes-position-in-cytomx-therapeutics-inc-nasdaqctmx/'],[0.],1
15.0,0.6,0.0,Phillip,Frost,['http://www.sun-sentinel.com/features/south-florida-parenting/fl-fea-sfp-family-events-070617-story.html'],[0.],1
2.0,0.18181818181818185,0.0,Paul,Nussbaum,['http://www.hotelbusiness.com/Personnel/Waramaug-Acquires-NJ-SpringHill-Suites/57404'],[0.],1
8.0,2.0,0.0,Eric,Rosengren,['http://www.businessinsider.com/fed-june-minutes-preview-2017-7'],[0.],1
0.0,0.0,0.0,David,Pulver,['https://www.chaffeybreeze.com/2017/07/04/ameriprise-financial-inc-purchases-53045-shares-of-carters-inc-cri-updated-updated.html'],[0.],1
0.0,0.0,0.0,Kevin,Starr,['https://www.themarketsdaily.com/2017/06/29/iguana-healthcare-management-llc-takes-position-in-cytomx-therapeutics-inc-ctmx-updated.html'],[0.],1
21.0,0.875,0.0,David,Pulver,['https://transcriptdaily.com/2017/06/29/gotham-asset-management-llc-invests-18-39-million-in-carters-inc-cri-updated.html'],[0.],1
5.0,0.7142857142857143,0.0,Tom,Whidden,['http://www.sailingscuttlebutt.com/2017/06/29/inductees-announced-usa-hall-fame/'],[0.],1
14.0,1.0769230769230769,0.0,Amy,Walter,['http://www.pbs.org/newshour/bb/challenge-democrats-search-unified-message/'],[0.],1
21.0,3.0,0.0,Kirk,Koenigsbauer,"['http://www.foxbusiness.com/features/2017/07/10/with-new-software-bundle-microsoft-furthers-nadellas-one-push.html', 'http://windowsitpro.com/business-resources/microsoft-inspire-news-summary-day-1-keynote', 'https://www.onmsft.com/news/microsoft-365-introduced-today-at-inspire-brings-together-office-365-windows-10-and-enterprise-mobility-security', 'https://www.ghacks.net/2017/07/10/microsoft-365-windows-and-office-subscription-bundle/']",[0.],1
0.0,0.0,0.0,David,Pulver,['https://transcriptdaily.com/2017/07/09/renaissance-technologies-llc-takes-position-in-carters-inc-cri-updated.html'],[0.],1
0.0,0.0,0.0,Rick,McVey,['https://www.ft.com/content/07d42d04-6e37-11e7-bfeb-33fe0c5b7eaa'],[0.],1
7.0,0.3684210526315789,0.0,Ted,Mocarski,['http://www.finsmes.com/2017/07/novacap-closes-fifth-private-equity-fund-at-840m.html'],[0.],1
14.0,1.0769230769230769,0.0,Amy,Walter,['http://www.pbs.org/newshour/bb/democrats-recrafting-message-will-find-right-messengers/'],[0.],1
20.0,0.8333333333333334,0.0,David,Pulver,['https://transcriptdaily.com/2017/07/22/public-employees-retirement-system-of-ohio-buys-190-shares-of-carters-inc-cri-updated-updated-updated.html'],[0.],1
4.0,0.3076923076923077,0.0,Bob,Diamond,['http://www.thisismoney.co.uk/money/comment/article-4730026/CITY-DIARY-Bob-Diamond-declares-love-rapper-Jay-Z.html'],[0.],1
8.0,1.0,0.0,Peter,Hart,['http://www.southernstar.ie/news/roundup/articles/2017/07/24/4143362-opinion-no-punches-pulled-in-critique-of-revisionist/'],[0.],1
29.0,1.6111111111111112,0.0,Rick,McVey,['https://www.bloombergquint.com/onweb/2017/07/24/the-8-6-trillion-market-where-a-1-gain-may-foretell-the-future'],[0.],1
6.0,0.42857142857142855,0.0,William,Rouhana,['https://finance.yahoo.com/news/stocks-rangebound-ahead-big-earnings-184952783.html'],[0.],1
6.0,0.375,0.0,Jeffrey,Rothschild,['https://www.philanthropy.com/article/Gifts-Roundup-50-Million/240724'],[0.],1
0.0,0.0,0.0,David,Pulver,['https://www.baseball-news-blog.com/2017/07/22/carters-inc-nysecri-given-average-rating-of-hold-by-brokerages-updated-updated.html'],[0.],1
0.0,0.0,0.0,Bernard,Osher,['https://www.mprnews.org/story/2017/07/24/senator-al-franken-at-commonwealth-club'],[0.],1
12.0,0.923076923076923,0.0,Amy,Walter,"['http://www.pbs.org/newshour/bb/great-struggle-getting-anything-done-partisanship-reigns/', 'http://www.cbsnews.com/news/sunday-schiff-collins-and-barrasso/', 'http://www.orlandosentinel.com/entertainment/tv/tv-guy/os-et-anthony-scaramucci-susan-collins-rand-paul-20170721-story.html']",[0.],1
19.0,1.0,0.0,Ted,Mocarski,['https://www.pehub.com/2017/07/novacap-wraps-up-fifth-fund-at-840-mln/'],[0.],1
15.0,1.0714285714285714,0.0,Tucker,Kelton,['http://charlestownbridge.com/2017/07/20/national-development-is-undertaking-major-renovation-rebranding-at-constitution-center/'],[0.],1
20.0,0.8333333333333334,0.0,David,Pulver,['https://sportsperspectives.com/2017/07/21/aqr-capital-management-llc-has-22-47-million-stake-in-carters-inc-nysecri-updated-updated.html'],[0.],1
1.0,0.0625,0.0,Jeffrey,Rothschild,['http://scopeblog.stanford.edu/2017/07/20/new-center-to-advance-cancer-cell-therapy/'],[0.],1
0.0,0.0,0.0,Bernard,Osher,['http://www.broadwayworld.com/san-francisco/article/ACTs-Young-Conservatory-to-present-HOMEFRONT-20170720'],[0.],1
8.0,0.3333333333333333,0.0,Robert,Hoopes,['http://freepressonline.com/Content/Home/Homepage-Rotator/Article/Eye-on-Augusta-Money-Flows-into-Gubernatorial-Campaign-Coffers/78/720/53573'],[0.],1
13.0,1.8571428571428568,0.0,Tom,Whidden,['http://www.sailingscuttlebutt.com/2017/07/19/real-raceboats-bummer/'],[0.],1
0.0,0.0,0.0,David,Pulver,['https://www.baseball-news-blog.com/2017/07/19/brokerages-expect-carters-inc-nysecri-will-announce-earnings-of-0-71-per-share.html'],[0.],1
1.0,0.0625,0.0,Jeffrey,Rothschild,['https://www.crunchbase.com/person/jeffrey-rothschild'],[0.],1
3.5,0.39375,0.0,Bill,Ryan,"['http://www.carrollcountytimes.com/sports/ph-cc-sp-county-swim-meet-072017-20170719-story.html', 'http://billingsgazette.com/sports/billings-golfer-competing-in-th-consecutive-montana-state-women-s/article_2a45b50c-9d7a-5568-bd92-df9e5b75859c.html', 'http://www.sent-trib.com/news/front_page/owens-theater-professor-leads-chautauqua-training-at-college/article_14c7af15-bdba-527e-8334-bceda840e435.html', 'http://dailycampus.com/stories/2017/7/18/mansfield-democrats-hold-caucus-to-nominate-town-election-candidates']",[1.],1
0.0,0.0,0.0,John,Devine,['http://www.caller.com/story/news/local/texas/state-bureau/2017/07/19/open-government-advocates-now-focusing-2019/486896001/'],[0.],1
0.0,0.0,0.0,David,Pulver,['https://www.baseball-news-blog.com/2017/07/19/carters-nysecri-receives-daily-news-impact-score-of-0-08-updated.html'],[0.],1
64.0,3.555555555555556,0.0,Rick,McVey,['https://seekingalpha.com/article/4090862-marketaxess-mktx-ceo-rick-mcvey-q2-2017-results-earnings-call-transcript'],[0.],1
6.0,0.3333333333333333,0.0,Richard,McVey,['https://www.fnlondon.com/articles/marketaxess-enjoys-second-best-quarter-for-revenues-and-trading-20170726'],[0.],1
4.0,0.5,0.0,Peter,Hart,['https://trofire.com/2017/07/26/tale-two-populisms-trump-brand-vs-economic-populism-majority-report-sam-seder/'],[0.],1
1.0,0.07692307692307693,0.0,Amy,Walter,['https://www.realclearpolitics.com/video/2017/07/30/face_the_nation_panel_is_health_care_reform_dead.html'],[0.],1
14.0,1.0769230769230769,0.0,Pete,Rouse,['http://expressnewsline.com/2017/07/29/trump-fires-priebus-hires-general-to-manage-staff.html'],[0.],1
0.0,0.0,0.0,David,Pulver,['https://www.baseball-news-blog.com/2017/07/30/carters-inc-nysecri-given-average-rating-of-hold-by-brokerages-updated-updated-updated.html'],[0.],1
6.333333333333332,0.4871794871794872,0.0,Pete,Rouse,"['http://www.cnn.com/2017/07/28/politics/reince-priebus-chief-of-staff-white-house-history/index.html', 'http://thehill.com/homenews/administration/344415-trump-mocked-obama-for-three-chiefs-of-staff-in-three-years', 'http://www.newsmax.com/John-Gizzi/john-kelly-trump-chief-staff/2017/07/28/id/804511/']",[0.],1
8.0,1.0,0.0,Peter,Hart,['http://www.primemovermag.com.au/news/article/artsa-chair-hits-milestone'],[0.],1
4.0,0.2857142857142857,0.0,Scott,Brady,['http://www.sackvilletribunepost.com/sports/football/2017/7/27/mount-allison-s-star-quarterback-ready-to-return-to-action.html'],[0.],1
5.0,5.0,0.0,Jamie,Forese,"['http://www.businessinsider.com/why-the-word-network-is-so-crucial-to-citigroups-success-2017-7', 'https://fortune.com/2017/07/25/citigroup-investors-bailout-financial-crisis/', 'http://news.efinancialcareers.com/it-en/291038/whats-good-about-citis-investment-bank', 'https://www.businessinsider.com.au/why-the-word-network-is-so-crucial-to-citigroups-success-2017-7']",[0.],1
1.0,1.0,0.0,James,Forese,['https://www.fnlondon.com/articles/citi-eyes-equities-and-banking-for-wallet-share-wins-20170726'],[0.],1
2.0,0.15384615384615385,0.0,Bob,Diamond,['https://therealdeal.com/2017/07/26/buyer-of-50m-penthouse-at-15-cpw-just-shelled-out-big-money-for-432-park-pad/'],[0.],1
0.0,0.0,0.0,Rick,McVey,['https://www.ft.com/content/d2c17fe2-722b-11e7-93ff-99f383b09ff9'],[0.],1
1.0,0.06666666666666668,0.0,Jason,Klein,['https://motherboard.vice.com/en_us/article/j5qa7y/people-keep-getting-charged-with-a-crime-for-selling-bitcoin'],[0.],1
0.0,0.0,0.0,Eric,Piesner,['http://www.legalbusinessonline.com/deals/ke-mofo-skadden-warehouse-operator-glp%25E2%2580%2599s-116-bln-go-private-deal/74664'],[0.],1
12.0,0.8571428571428571,0.0,Bill,Rouhana,['http://www.avclub.com/article/ashton-kutcher-help-chicken-soup-soul-become-inspi-258250'],[0.],1
3.0,0.2307692307692308,0.0,Bob,Diamond,['http://www.thisismoney.co.uk/money/markets/article-4708212/DAILY-BRIEFING-Svenska-Handelsbanken-expand-UK.html'],[0.],1
11.0,0.7857142857142857,0.0,William,Rouhana,['https://www.c21media.net/chicken-soup-to-float/'],[0.],1
6.0,0.375,0.0,Jeffrey,Rothschild,['http://med.stanford.edu/news/all-news/2017/07/rothschild-gift-establishes-stanford-center-for-cancer-cell-therapy.html'],[0.],1
3.0,0.375,0.0,Peter,Hart,['http://www.americanow.com/story/society/2017/07/17/41-percent-americans-favor-trump-impeachment'],[0.],1
0.0,0.0,0.0,David,Pulver,['https://www.baseball-news-blog.com/2017/07/18/carters-inc-nysecri-set-to-announce-quarterly-earnings-on-tuesday.html'],[0.],1
0.0,0.0,0.0,Eric,Piesner,['http://www.legalbusinessonline.com/deals/ke-mofo-ag-warehouse-operator-glp%25E2%2580%2599s-116-bln-go-private-deal/74664'],[0.],1
30.0,2.142857142857143,0.0,Bill,Rouhana,['http://www.businessinsider.com/an-ashton-kutcher-backed-media-company-is-going-public-2017-7'],[0.],1
2.0,0.15384615384615385,0.0,Bob,Diamond,['http://www.standard.co.uk/business/market-report-easyjet-s-mccall-faces-rough-exit-after-lufthansa-selloff-a3590541.html'],[0.],1
13.0,1.0,0.0,Amy,Walter,['http://www.pbs.org/newshour/bb/trumps-historically-low-approval-ratings-spell-trouble-republicans/'],[0.],1
20.0,1.4285714285714286,0.0,William,Rouhana,['https://www.usatoday.com/story/money/2017/07/17/chicken-soup-soul-files-ipo-bid-raise-30-m/484307001/'],[0.],1
20.0,0.8333333333333334,0.0,David,Pulver,['https://www.com-unik.info/2017/07/17/glenmede-trust-co-na-has-233000-stake-in-carters-inc-nysecri.html'],[0.],1
0.5,0.02083333333333333,0.0,Andrew,Weber,"['http://wgnradio.com/2017/07/16/the-delicious-world-of-nutella-with-ceo-of-ferrero-north-america-paul-chibe/', 'https://www.profootballfocus.com/news/fantasy-football-the-bell-cow-report-which-running-backs-do-it-all']",[0.],1
13.0,1.8571428571428568,0.0,Kirk,Koenigsbauer,['https://www.thurrott.com/cloud/office-365/129862/microsoft-announces-july-updates-office-365'],[0.],1
7.0,0.5384615384615384,0.0,Pete,Rouse,['http://www.foxnews.com/politics/2017/07/31/white-house-shakeup-watch-why-media-prefer-kelly-over-priebus.html'],[0.],1
5.0,0.7142857142857143,0.0,Kirk,Koenigsbauer,['https://edtechmagazine.com/higher/article/2017/07/major-tech-companies-strive-make-tools-accessible-students'],[0.],1
21.0,0.875,0.0,David,Pulver,['https://www.thecerbatgem.com/2017/07/15/carters-inc-cri-given-buy-rating-at-fbr-co.html'],[0.],1
9.0,9.0,0.0,Jamie,Forese,['https://www.americanbanker.com/articles/citigroups-bankers-bond-traders-are-narrowing-gap-on-jpmorgan'],[0.],1
8.0,0.5,0.0,Betsy,Morgan,['https://sofrep.com/85718/first-sneak-peek-at-brandon-webbs-latest-book-total-focus-navy-seals-guide-to-making-decisions-under-pressure/'],[0.],1
1.0,0.07692307692307693,0.0,Bob,Diamond,['https://www.ft.com/content/12f0f24c-68b2-11e7-9a66-93fb352ba1fe'],[0.],1
9.0,0.36,0.0,Phillip,Frost,['http://www.blouinartinfo.com/news/story/2354016/possible-worlds-at-patricia-phillip-frost-art-museum-miami'],[0.],1
4.333333333333333,0.3333333333333333,0.0,Bob,Diamond,"['http://www.thisismoney.co.uk/money/comment/article-4694336/CITY-DIARY-Axe-man-cometh-Panmure-Gordon-staff.html', 'http://www.bbc.com/news/business-40594349', 'http://www.proactiveinvestors.co.uk/columns/guardian-cfds-newspaper-briefing/28175/in-the-papers-tfl-ee-burberry-southern-rail-28175.html']",[0.],1
4.0,0.19047619047619047,0.0,Glenn,Isaacson,['https://commercialobserver.com/2017/07/cw-grabs-another-rival-exec-with-simon-property-vp-to-head-retail-in-the-americas/'],[0.],1
6.0,0.75,0.0,Bill,Alfond,['https://www.forbes.com/sites/denizcam/2017/07/13/billionaire-philanthropist-peter-alfond-dies-at-65/'],[0.],1
9.5,0.38,0.0,Phillip,Frost,"['https://www.streetinsider.com/SEC%2BFilings/Form%2B4%2BOpko%2BHealth%252C%2BInc.%2BFor%253A%2BJul%2B12%2BFiled%2Bby%253A%2BFROST%2BPHILLIP%2BMD%2BET%2BAL/13094653.html', 'https://factsreporter.com/2017/07/13/featured-stock-to-see-opko-health-inc-opk/']",[0.],1
17.0,2.4285714285714284,0.0,Kirk,Koenigsbauer,['https://www.extremetech.com/computing/252328-microsoft-paid-enterprise-business-subscription-model-windows-office'],[0.],1
0.0,0.0,0.0,David,Pulver,['https://www.baseball-news-blog.com/2017/07/13/private-trust-co-na-decreases-stake-in-carters-inc-cri.html'],[0.],1
8.0,0.6153846153846154,0.0,Bob,Diamond,"['https://therealdeal.com/2017/07/12/the-biggest-price-cuts-on-luxury-pads-last-week-17/', 'https://www.fnlondon.com/articles/nicky-morgan-named-new-interrogator-in-chief-of-the-city-20170712']",[0.],1
2.5,0.19230769230769232,0.0,Bob,Diamond,"['http://www.thisismoney.co.uk/money/news/article-4747882/Prince-Andrew-s-ex-Amanda-Staveley-Ridley-Scott-film.html', 'http://www.henleystandard.co.uk/news/stable-talk/113378/jumper-s-making-the-leap-to-coach-abroad.html']",[0.],1
0.0,0.0,0.0,Bill,Alfond,['http://www.colby.edu/news/2017/07/31/early-work-begins-on-athletic-complex-fields-near-completion/'],[0.],1
19.0,2.375,3.0,Bill,Alfond,['http://www.centralmaine.com/2017/07/11/philanthropist-peter-g-alfond-dies/'],[0.],1
11.0,0.55,0.0,James,Crook,['https://vtdigger.org/2017/07/11/burlington-labs-emerges-new-name-partner/'],[0.],1
76.0,3.6190476190476186,3.0,Peter,Lunder,['http://www.centralmaine.com/2017/07/11/philanthropist-peter-g-alfond-dies/'],[0.],1
36.0,3.0,3.0,Paula,Lunder,['http://www.centralmaine.com/2017/07/11/philanthropist-peter-g-alfond-dies/'],[0.],1
6.0,0.24,0.0,Phillip,Frost,['https://www.reuters.com/article/brief-opko-health-ceo-phillip-frost-buys-idUSFWN1K2059'],[0.],1
17.5,2.5,0.0,Kirk,Koenigsbauer,"['http://www.healthcareitnews.com/news/microsoft-rolls-office-and-windows-together-launches-azure-stack-hybrid-cloud', 'http://www.eweek.com/enterprise-apps/windows-10-office-365-and-ems-bundled-into-microsoft-365']",[0.],1
37.0,1.4230769230769231,0.0,Kevin,Starr,['https://www.thecerbatgem.com/2017/06/21/cytomx-therapeutics-inc-ctmx-given-average-recommendation-of-hold-by-brokerages.html'],[0.],1
0.0,0.0,0.0,David,Fernandez,['http://www.sun-sentinel.com/local/broward/sunrise/fl-pf-panthersscholarships-0621-20170621-story.html'],[0.],1
